From Book,From Book Number,From Chapter,From Chapter in Bible,From Verse Number,To Book,To Book Number,To Chapter,To Chapter in Bible,To Verse Number
Psalm,19,110,587,1,Hebrews,58,1,1133,3
Isaiah,23,61,739,1,Hebrews,58,1,1133,9
Jeremiah,24,32,776,17,Hebrews,58,1,1133,10
Jeremiah,24,32,776,17,Hebrews,58,1,1133,2
Matthew,40,24,952,35,Hebrews,58,1,1133,11
John,43,1,997,1,Hebrews,58,1,1133,8
John,43,14,1010,9,Hebrews,58,1,1133,3
Romans,45,8,1053,29,Hebrews,58,1,1133,5
Philippians,50,2,1104,6,Hebrews,58,1,1133,3
Colossians,51,1,1107,15,Hebrews,58,1,1133,3
Genesis,1,1,0,1,Acts,44,17,1034,24
Genesis,1,1,0,1,Colossians,51,1,1107,16
1 Samuel,9,12,247,23,Colossians,51,1,1107,9
Psalm,19,27,504,14,Colossians,51,1,1107,11
Matthew,40,6,934,33,Colossians,51,1,1107,13
Matthew,40,16,944,18,Colossians,51,1,1107,18
John,43,1,997,1,Colossians,51,1,1107,17
John,43,1,997,3,Colossians,51,1,1107,16
John,43,1,997,18,Colossians,51,1,1107,15
John,43,14,1010,9,Colossians,51,1,1107,15
John,43,15,1011,5,Colossians,51,1,1107,10
Romans,45,8,1053,29,Colossians,51,1,1107,15
Romans,45,12,1057,2,Colossians,51,1,1107,21
1 Corinthians,46,15,1076,58,Colossians,51,1,1107,23
1 Corinthians,46,16,1077,13,Colossians,51,1,1107,23
Ephesians,49,1,1097,1,Colossians,51,1,1107,2
Ephesians,49,1,1097,10,Colossians,51,1,1107,20
Ephesians,49,2,1098,10,Colossians,51,1,1107,10
Ephesians,49,3,1099,16,Colossians,51,1,1107,11
Ephesians,49,4,1100,1,Colossians,51,1,1107,10
Ephesians,49,6,1102,12,Colossians,51,1,1107,13
Philippians,50,4,1106,13,Colossians,51,1,1107,11
Colossians,51,2,1108,9,Colossians,51,1,1107,19
2 Timothy,55,1,1125,7,Colossians,51,1,1107,8
Hebrews,58,1,1133,3,Colossians,51,1,1107,15
2 Peter,61,3,1158,18,Colossians,51,1,1107,10
Revelation,66,1,1167,5,Colossians,51,1,1107,18
Genesis,1,1,0,1,Exodus,2,20,69,11
Jeremiah,24,32,776,17,Exodus,2,20,69,11
Nahum,34,1,900,2,Exodus,2,20,69,5
Genesis,1,1,0,1,Nehemiah,16,9,421,6
Exodus,2,34,83,6,Nehemiah,16,9,421,17
Genesis,1,1,0,1,Psalm,19,136,613,5
Genesis,1,1,0,1,2 Peter,61,3,1158,5
Matthew,40,24,952,35,2 Peter,61,3,1158,7
John,43,15,1011,5,2 Peter,61,3,1158,18
1 Corinthians,46,15,1076,58,2 Peter,61,3,1158,17
2 Peter,61,3,1158,12,2 Peter,61,3,1158,10
Revelation,66,21,1187,1,2 Peter,61,3,1158,13
Genesis,1,1,0,1,Isaiah,23,44,722,24
Psalm,19,51,528,1,Isaiah,23,44,722,22
Isaiah,23,41,719,10,Isaiah,23,44,722,2
Isaiah,23,43,721,25,Isaiah,23,44,722,22
Isaiah,23,44,722,2,Isaiah,23,44,722,24
Isaiah,23,44,722,6,Isaiah,23,44,722,8
Isaiah,23,44,722,6,Isaiah,23,44,722,24
Isaiah,23,59,737,21,Isaiah,23,44,722,3
Mark,41,8,964,18,Isaiah,23,44,722,18
John,43,7,1003,38,Isaiah,23,44,722,3
Revelation,66,1,1167,8,Isaiah,23,44,722,6
Revelation,66,1,1167,17,Isaiah,23,44,722,6
Genesis,1,1,0,1,Acts,44,14,1031,15
Genesis,1,1,0,1,Psalm,19,115,592,15
Proverbs,20,3,630,5,Psalm,19,115,592,9
Mark,41,8,964,18,Psalm,19,115,592,5
Hebrews,58,13,1145,6,Psalm,19,115,592,9
Genesis,1,1,0,1,Jeremiah,24,51,795,15
Acts,44,8,1025,32,Jeremiah,24,51,795,40
Genesis,1,1,0,1,Revelation,66,14,1180,7
Jeremiah,24,29,773,11,Revelation,66,14,1180,8
Genesis,1,1,0,1,Proverbs,20,8,635,22
Psalm,19,23,500,3,Proverbs,20,8,635,20
Psalm,19,32,509,8,Proverbs,20,8,635,10
John,43,1,997,1,Proverbs,20,8,635,22
2 Timothy,55,1,1125,7,Proverbs,20,8,635,14
Hebrews,58,11,1143,6,Proverbs,20,8,635,17
Genesis,1,1,0,1,Jeremiah,24,32,776,17
Genesis,1,18,17,14,Jeremiah,24,32,776,17
Isaiah,23,59,737,21,Jeremiah,24,32,776,38
Jeremiah,24,31,775,33,Jeremiah,24,32,776,40
Jeremiah,24,31,775,33,Jeremiah,24,32,776,38
Jeremiah,24,32,776,17,Jeremiah,24,32,776,27
Jeremiah,24,32,776,27,Jeremiah,24,32,776,17
Ezekiel,26,11,812,19,Jeremiah,24,32,776,39
Matthew,40,19,947,26,Jeremiah,24,32,776,27
Luke,42,1,973,37,Jeremiah,24,32,776,17
Luke,42,1,973,37,Jeremiah,24,32,776,27
Luke,42,18,990,27,Jeremiah,24,32,776,17
2 Corinthians,47,6,1083,16,Jeremiah,24,32,776,38
Ephesians,49,3,1099,20,Jeremiah,24,32,776,27
Ephesians,49,3,1099,20,Jeremiah,24,32,776,17
Genesis,1,1,0,1,Jeremiah,24,10,754,12
Proverbs,20,3,630,5,Jeremiah,24,10,754,23
Proverbs,20,3,630,6,Jeremiah,24,10,754,23
Jeremiah,24,23,767,1,Jeremiah,24,10,754,21
Jeremiah,24,32,776,17,Jeremiah,24,10,754,11
Genesis,1,1,0,1,Proverbs,20,3,630,19
Deuteronomy,5,4,156,9,Proverbs,20,3,630,1
Deuteronomy,5,16,168,16,Proverbs,20,3,630,9
Joshua,6,1,187,8,Proverbs,20,3,630,1
Psalm,19,32,509,8,Proverbs,20,3,630,5
Psalm,19,32,509,8,Proverbs,20,3,630,1
Proverbs,20,3,630,5,Proverbs,20,3,630,7
Proverbs,20,4,631,23,Proverbs,20,3,630,21
Proverbs,20,16,643,3,Proverbs,20,3,630,6
Isaiah,23,30,708,21,Proverbs,20,3,630,5
Malachi,39,3,927,10,Proverbs,20,3,630,9
Matthew,40,6,934,33,Proverbs,20,3,630,9
Romans,45,12,1057,2,Proverbs,20,3,630,1
Romans,45,12,1057,2,Proverbs,20,3,630,13
Philippians,50,4,1106,6,Proverbs,20,3,630,5
Philippians,50,4,1106,19,Proverbs,20,3,630,9
Colossians,51,3,1109,17,Proverbs,20,3,630,6
James,59,4,1149,6,Proverbs,20,3,630,34
Genesis,1,1,0,1,Zechariah,38,12,922,1
Isaiah,23,44,722,3,Zechariah,38,12,922,10
Jeremiah,24,29,773,11,Zechariah,38,12,922,5
Obadiah,31,1,888,18,Zechariah,38,12,922,6
Revelation,66,1,1167,7,Zechariah,38,12,922,10
Genesis,1,1,0,1,Isaiah,23,40,718,26
Genesis,1,1,0,1,Isaiah,23,40,718,28
Psalm,19,23,500,1,Isaiah,23,40,718,11
Psalm,19,25,502,3,Isaiah,23,40,718,31
Psalm,19,27,504,14,Isaiah,23,40,718,31
Psalm,19,29,506,11,Isaiah,23,40,718,31
Psalm,19,29,506,11,Isaiah,23,40,718,29
Proverbs,20,20,647,22,Isaiah,23,40,718,31
Isaiah,23,41,719,10,Isaiah,23,40,718,29
Jeremiah,24,29,773,11,Isaiah,23,40,718,1
Jeremiah,24,32,776,17,Isaiah,23,40,718,26
Matthew,40,3,931,3,Isaiah,23,40,718,3
Matthew,40,24,952,35,Isaiah,23,40,718,8
John,43,1,997,14,Isaiah,23,40,718,5
John,43,10,1006,11,Isaiah,23,40,718,11
Romans,45,1,1046,20,Isaiah,23,40,718,26
2 Corinthians,47,12,1089,9,Isaiah,23,40,718,29
Galatians,48,6,1096,9,Isaiah,23,40,718,30
Ephesians,49,3,1099,16,Isaiah,23,40,718,29
Philippians,50,4,1106,13,Isaiah,23,40,718,29
Genesis,1,1,0,1,Isaiah,23,51,729,13
Genesis,1,1,0,1,Isaiah,23,51,729,16
Isaiah,23,40,718,1,Isaiah,23,51,729,12
Isaiah,23,41,719,10,Isaiah,23,51,729,12
Isaiah,23,45,723,17,Isaiah,23,51,729,8
Isaiah,23,45,723,17,Isaiah,23,51,729,6
Isaiah,23,59,737,21,Isaiah,23,51,729,16
Matthew,40,24,952,35,Isaiah,23,51,729,6
Genesis,1,1,0,1,Psalm,19,102,579,25
Isaiah,23,61,739,1,Psalm,19,102,579,20
Jeremiah,24,30,774,18,Psalm,19,102,579,13
Jeremiah,24,32,776,17,Psalm,19,102,579,25
Matthew,40,24,952,35,Psalm,19,102,579,26
James,59,4,1149,14,Psalm,19,102,579,3
Genesis,1,1,0,1,Revelation,66,10,1176,6
Jeremiah,24,15,759,16,Revelation,66,10,1176,9
Genesis,1,1,0,1,1 Corinthians,46,8,1069,6
Proverbs,20,3,630,5,1 Corinthians,46,8,1069,1
John,43,1,997,3,1 Corinthians,46,8,1069,6
Romans,45,14,1059,17,1 Corinthians,46,8,1069,8
Colossians,51,1,1107,16,1 Corinthians,46,8,1069,6
2 Timothy,55,2,1126,19,1 Corinthians,46,8,1069,3
Hebrews,58,1,1133,2,1 Corinthians,46,8,1069,6
Genesis,1,1,0,1,Psalm,19,90,567,2
Job,18,22,457,28,Psalm,19,90,567,17
Psalm,19,91,568,1,Psalm,19,90,567,1
2 Peter,61,3,1158,8,Psalm,19,90,567,4
Genesis,1,1,0,1,Psalm,19,8,485,3
2 Samuel,10,7,273,18,Psalm,19,8,485,4
Psalm,19,110,587,1,Psalm,19,8,485,6
Genesis,1,1,0,1,Psalm,19,104,581,24
Genesis,1,1,0,1,Psalm,19,104,581,30
Psalm,19,37,514,4,Psalm,19,104,581,34
Ecclesiastes,21,1,659,4,Psalm,19,104,581,5
Hebrews,58,1,1133,7,Psalm,19,104,581,4
Genesis,1,1,0,1,Psalm,19,146,623,6
Proverbs,20,3,630,5,Psalm,19,146,623,3
Luke,42,4,976,18,Psalm,19,146,623,7
Hebrews,58,13,1145,6,Psalm,19,146,623,3
Genesis,1,1,0,1,Psalm,19,33,510,9
Genesis,1,1,0,1,Psalm,19,33,510,6
Psalm,19,32,509,8,Psalm,19,33,510,18
Isaiah,23,46,724,10,Psalm,19,33,510,11
Jeremiah,24,29,773,11,Psalm,19,33,510,11
Lamentations,25,3,799,37,Psalm,19,33,510,9
Zechariah,38,4,914,6,Psalm,19,33,510,16
Zechariah,38,4,914,6,Psalm,19,33,510,20
Hebrews,58,4,1136,13,Psalm,19,33,510,13
Hebrews,58,13,1145,6,Psalm,19,33,510,20
Genesis,1,1,0,1,Acts,44,4,1021,24
Psalm,19,118,595,22,Acts,44,4,1021,11
Isaiah,23,28,706,16,Acts,44,4,1021,11
Isaiah,23,61,739,1,Acts,44,4,1021,27
John,43,14,1010,6,Acts,44,4,1021,12
Acts,44,1,1018,8,Acts,44,4,1021,33
Hebrews,58,4,1136,12,Acts,44,4,1021,31
Genesis,1,1,0,1,Romans,45,1,1046,19
1 Samuel,9,12,247,23,Romans,45,1,1046,9
Psalm,19,19,496,1,Romans,45,1,1046,19
Habakkuk,35,2,904,4,Romans,45,1,1046,17
Matthew,40,6,934,33,Romans,45,1,1046,17
Luke,42,9,981,26,Romans,45,1,1046,16
Ephesians,49,5,1101,6,Romans,45,1,1046,18
Philemon,57,1,1132,4,Romans,45,1,1046,8
Hebrews,58,4,1136,12,Romans,45,1,1046,16
Genesis,1,1,0,1,Psalm,19,148,625,4
Genesis,1,1,0,1,Isaiah,23,37,715,16
Isaiah,23,43,721,25,Isaiah,23,37,715,35
Isaiah,23,44,722,6,Isaiah,23,37,715,16
Genesis,1,1,0,1,1 John,62,1,1159,1
John,43,1,997,1,1 John,62,1,1159,1
Romans,45,3,1048,23,1 John,62,1,1159,8
Revelation,66,7,1173,14,1 John,62,1,1159,7
Genesis,1,1,0,1,Psalm,19,89,566,11
Psalm,19,24,501,1,Psalm,19,89,566,11
Isaiah,23,41,719,10,Psalm,19,89,566,13
Matthew,40,24,952,35,Psalm,19,89,566,34
Revelation,66,1,1167,5,Psalm,19,89,566,27
Genesis,1,1,0,1,Psalm,19,124,601,8
Hebrews,58,13,1145,6,Psalm,19,124,601,8
Genesis,1,1,0,1,Hebrews,58,3,1135,4
Jeremiah,24,17,761,9,Hebrews,58,3,1135,12
1 Corinthians,46,15,1076,58,Hebrews,58,3,1135,14
Hebrews,58,3,1135,7,Hebrews,58,3,1135,15
Hebrews,58,3,1135,7,Hebrews,58,3,1135,13
Hebrews,58,10,1142,25,Hebrews,58,3,1135,13
Hebrews,58,11,1143,1,Hebrews,58,3,1135,14
Genesis,1,1,0,1,Psalm,19,121,598,2
Genesis,1,28,27,15,Psalm,19,121,598,5
Psalm,19,91,568,1,Psalm,19,121,598,5
Psalm,19,123,600,1,Psalm,19,121,598,1
Genesis,1,1,0,1,Psalm,19,96,573,5
Genesis,1,1,0,1,1 Chronicles,13,16,353,26
Genesis,1,1,0,1,Romans,45,11,1056,36
Numbers,4,23,139,19,Romans,45,11,1056,29
Psalm,19,31,508,19,Romans,45,11,1056,22
Isaiah,23,45,723,17,Romans,45,11,1056,26
Isaiah,23,59,737,20,Romans,45,11,1056,26
Mark,41,8,964,18,Romans,45,11,1056,8
Romans,45,8,1053,29,Romans,45,11,1056,2
Ephesians,49,3,1099,21,Romans,45,11,1056,36
Colossians,51,1,1107,16,Romans,45,11,1056,36
Genesis,1,1,0,1,Mark,41,13,969,19
Matthew,40,5,933,11,Mark,41,13,969,13
Matthew,40,10,938,17,Mark,41,13,969,9
Matthew,40,10,938,22,Mark,41,13,969,13
Matthew,40,24,952,36,Mark,41,13,969,32
Luke,42,11,983,9,Mark,41,13,969,37
1 Corinthians,46,16,1077,13,Mark,41,13,969,33
Genesis,1,1,0,1,Psalm,19,134,611,3
Genesis,1,1,0,1,Proverbs,20,16,643,4
Psalm,19,37,514,5,Proverbs,20,16,643,3
Psalm,19,127,604,1,Proverbs,20,16,643,9
Proverbs,20,3,630,6,Proverbs,20,16,643,3
Proverbs,20,3,630,6,Proverbs,20,16,643,9
Proverbs,20,14,641,12,Proverbs,20,16,643,25
Proverbs,20,16,643,1,Proverbs,20,16,643,9
Proverbs,20,16,643,9,Proverbs,20,16,643,1
Proverbs,20,19,646,21,Proverbs,20,16,643,9
Proverbs,20,19,646,21,Proverbs,20,16,643,1
Proverbs,20,21,648,1,Proverbs,20,16,643,9
Proverbs,20,21,648,2,Proverbs,20,16,643,2
Proverbs,20,21,648,2,Proverbs,20,16,643,25
Proverbs,20,29,656,23,Proverbs,20,16,643,18
Matthew,40,7,935,13,Proverbs,20,16,643,25
Romans,45,9,1054,22,Proverbs,20,16,643,4
Philippians,50,4,1106,6,Proverbs,20,16,643,3
James,59,1,1146,19,Proverbs,20,16,643,32
Genesis,1,1,0,1,Ephesians,49,3,1099,9
Isaiah,23,41,719,10,Ephesians,49,3,1099,16
Jeremiah,24,33,777,3,Ephesians,49,3,1099,20
Matthew,40,13,941,35,Ephesians,49,3,1099,9
John,43,14,1010,15,Ephesians,49,3,1099,16
Romans,45,8,1053,28,Ephesians,49,3,1099,11
2 Corinthians,47,12,1089,9,Ephesians,49,3,1099,16
Galatians,48,6,1096,9,Ephesians,49,3,1099,13
Ephesians,49,3,1099,20,Ephesians,49,3,1099,7
Ephesians,49,6,1102,10,Ephesians,49,3,1099,16
Philippians,50,4,1106,13,Ephesians,49,3,1099,16
Hebrews,58,4,1136,16,Ephesians,49,3,1099,12
Hebrews,58,13,1145,6,Ephesians,49,3,1099,12
Genesis,1,1,0,2,Jeremiah,24,4,748,23
Genesis,1,1,0,3,2 Corinthians,47,4,1081,6
Isaiah,23,40,718,31,2 Corinthians,47,4,1081,16
Isaiah,23,40,718,31,2 Corinthians,47,4,1081,8
Isaiah,23,40,718,31,2 Corinthians,47,4,1081,1
Romans,45,8,1053,18,2 Corinthians,47,4,1081,17
Romans,45,8,1053,28,2 Corinthians,47,4,1081,15
Romans,45,12,1057,2,2 Corinthians,47,4,1081,4
2 Corinthians,47,3,1080,18,2 Corinthians,47,4,1081,6
2 Corinthians,47,3,1080,18,2 Corinthians,47,4,1081,4
2 Corinthians,47,4,1081,4,2 Corinthians,47,4,1081,6
Galatians,48,2,1092,20,2 Corinthians,47,4,1081,10
Galatians,48,6,1096,9,2 Corinthians,47,4,1081,16
Galatians,48,6,1096,9,2 Corinthians,47,4,1081,1
Ephesians,49,6,1102,12,2 Corinthians,47,4,1081,4
Colossians,51,1,1107,15,2 Corinthians,47,4,1081,4
Colossians,51,3,1109,1,2 Corinthians,47,4,1081,18
Hebrews,58,1,1133,3,2 Corinthians,47,4,1081,4
Hebrews,58,11,1143,1,2 Corinthians,47,4,1081,18
Hebrews,58,12,1144,3,2 Corinthians,47,4,1081,16
1 Peter,60,5,1155,10,2 Corinthians,47,4,1081,17
Genesis,1,1,0,26,Colossians,51,3,1109,10
Joshua,6,1,187,8,Colossians,51,3,1109,16
Psalm,19,31,508,19,Colossians,51,3,1109,2
Psalm,19,110,587,1,Colossians,51,3,1109,1
Ecclesiastes,21,9,667,10,Colossians,51,3,1109,23
John,43,14,1010,6,Colossians,51,3,1109,4
John,43,14,1010,27,Colossians,51,3,1109,15
John,43,15,1011,7,Colossians,51,3,1109,16
Romans,45,12,1057,2,Colossians,51,3,1109,10
1 Corinthians,46,10,1071,31,Colossians,51,3,1109,17
1 Corinthians,46,10,1071,31,Colossians,51,3,1109,23
1 Corinthians,46,13,1074,13,Colossians,51,3,1109,14
2 Corinthians,47,5,1082,15,Colossians,51,3,1109,1
2 Corinthians,47,5,1082,15,Colossians,51,3,1109,17
2 Corinthians,47,5,1082,17,Colossians,51,3,1109,1
Galatians,48,2,1092,20,Colossians,51,3,1109,3
Galatians,48,5,1095,22,Colossians,51,3,1109,12
Ephesians,49,4,1100,31,Colossians,51,3,1109,8
Ephesians,49,4,1100,32,Colossians,51,3,1109,12
Ephesians,49,5,1101,3,Colossians,51,3,1109,5
Ephesians,49,5,1101,19,Colossians,51,3,1109,16
Ephesians,49,5,1101,20,Colossians,51,3,1109,17
Ephesians,49,5,1101,22,Colossians,51,3,1109,18
Ephesians,49,5,1101,25,Colossians,51,3,1109,19
Ephesians,49,6,1102,6,Colossians,51,3,1109,22
Philippians,50,2,1104,1,Colossians,51,3,1109,12
Philippians,50,4,1106,6,Colossians,51,3,1109,17
Philippians,50,4,1106,6,Colossians,51,3,1109,15
Philippians,50,4,1106,7,Colossians,51,3,1109,15
Colossians,51,3,1109,17,Colossians,51,3,1109,23
Colossians,51,3,1109,23,Colossians,51,3,1109,17
1 Thessalonians,52,5,1115,18,Colossians,51,3,1109,17
Hebrews,58,12,1144,1,Colossians,51,3,1109,5
1 Peter,60,3,1153,7,Colossians,51,3,1109,19
1 Peter,60,4,1154,8,Colossians,51,3,1109,14
1 John,62,2,1160,15,Colossians,51,3,1109,1
Genesis,1,1,0,26,Ephesians,49,4,1100,24
Joshua,6,1,187,8,Ephesians,49,4,1100,29
Psalm,19,51,528,10,Ephesians,49,4,1100,22
Proverbs,20,18,645,21,Ephesians,49,4,1100,29
Matthew,40,6,934,14,Ephesians,49,4,1100,32
Luke,42,6,978,45,Ephesians,49,4,1100,29
Romans,45,8,1053,29,Ephesians,49,4,1100,24
Romans,45,12,1057,1,Ephesians,49,4,1100,1
Romans,45,12,1057,2,Ephesians,49,4,1100,22
Romans,45,12,1057,2,Ephesians,49,4,1100,17
Romans,45,13,1058,14,Ephesians,49,4,1100,24
2 Corinthians,47,3,1080,18,Ephesians,49,4,1100,22
2 Corinthians,47,5,1082,17,Ephesians,49,4,1100,22
Ephesians,49,1,1097,13,Ephesians,49,4,1100,30
Ephesians,49,2,1098,10,Ephesians,49,4,1100,24
Ephesians,49,2,1098,10,Ephesians,49,4,1100,1
Ephesians,49,6,1102,11,Ephesians,49,4,1100,14
Philippians,50,1,1103,6,Ephesians,49,4,1100,12
Philippians,50,2,1104,3,Ephesians,49,4,1100,2
Colossians,51,1,1107,10,Ephesians,49,4,1100,1
Colossians,51,3,1109,10,Ephesians,49,4,1100,23
Colossians,51,3,1109,12,Ephesians,49,4,1100,32
Colossians,51,3,1109,12,Ephesians,49,4,1100,2
Colossians,51,3,1109,13,Ephesians,49,4,1100,32
Colossians,51,4,1110,6,Ephesians,49,4,1100,29
1 Thessalonians,52,5,1115,11,Ephesians,49,4,1100,29
James,59,1,1146,19,Ephesians,49,4,1100,26
James,59,4,1149,7,Ephesians,49,4,1100,27
1 Peter,60,2,1152,1,Ephesians,49,4,1100,31
1 Peter,60,2,1152,2,Ephesians,49,4,1100,15
1 Peter,60,3,1153,8,Ephesians,49,4,1100,31
1 Peter,60,5,1155,8,Ephesians,49,4,1100,27
2 Peter,61,3,1158,18,Ephesians,49,4,1100,15
Genesis,1,1,0,27,Matthew,40,19,947,4
Genesis,1,2,1,24,Matthew,40,19,947,3
Genesis,1,18,17,14,Matthew,40,19,947,26
Job,18,42,477,2,Matthew,40,19,947,26
Matthew,40,5,933,11,Matthew,40,19,947,29
Matthew,40,6,934,33,Matthew,40,19,947,29
Mark,41,10,966,27,Matthew,40,19,947,26
Luke,42,1,973,37,Matthew,40,19,947,26
Luke,42,10,982,27,Matthew,40,19,947,19
Genesis,1,2,1,7,1 Corinthians,46,15,1076,45
Psalm,19,110,587,1,1 Corinthians,46,15,1076,25
Proverbs,20,13,640,20,1 Corinthians,46,15,1076,33
Isaiah,23,59,737,21,1 Corinthians,46,15,1076,3
Matthew,40,28,956,18,1 Corinthians,46,15,1076,27
Romans,45,5,1050,12,1 Corinthians,46,15,1076,21
Romans,45,8,1053,29,1 Corinthians,46,15,1076,49
Romans,45,8,1053,37,1 Corinthians,46,15,1076,57
1 Corinthians,46,16,1077,13,1 Corinthians,46,15,1076,58
1 Corinthians,46,16,1077,13,1 Corinthians,46,15,1076,1
2 Corinthians,47,3,1080,18,1 Corinthians,46,15,1076,49
2 Corinthians,47,6,1083,14,1 Corinthians,46,15,1076,33
Galatians,48,6,1096,7,1 Corinthians,46,15,1076,33
Galatians,48,6,1096,9,1 Corinthians,46,15,1076,58
1 Thessalonians,52,4,1114,17,1 Corinthians,46,15,1076,52
Revelation,66,21,1187,4,1 Corinthians,46,15,1076,26
Genesis,1,2,1,17,James,59,1,1146,15
Numbers,4,23,139,19,James,59,1,1146,17
Joshua,6,1,187,8,James,59,1,1146,22
Psalm,19,119,596,9,James,59,1,1146,21
Proverbs,20,3,630,6,James,59,1,1146,5
Proverbs,20,4,631,23,James,59,1,1146,14
Proverbs,20,14,641,29,James,59,1,1146,19
Proverbs,20,17,644,27,James,59,1,1146,19
Ecclesiastes,21,7,665,9,James,59,1,1146,19
Malachi,39,3,927,6,James,59,1,1146,17
Matthew,40,5,933,10,James,59,1,1146,12
Matthew,40,7,935,21,James,59,1,1146,22
Matthew,40,10,938,22,James,59,1,1146,12
Mark,41,11,967,24,James,59,1,1146,5
Luke,42,6,978,47,James,59,1,1146,22
Luke,42,11,983,9,James,59,1,1146,5
Luke,42,11,983,28,James,59,1,1146,21
John,43,1,997,13,James,59,1,1146,18
John,43,15,1011,5,James,59,1,1146,17
Romans,45,5,1050,3,James,59,1,1146,2
Romans,45,5,1050,3,James,59,1,1146,12
Romans,45,6,1051,23,James,59,1,1146,15
Romans,45,8,1053,28,James,59,1,1146,12
Romans,45,8,1053,28,James,59,1,1146,3
Romans,45,12,1057,2,James,59,1,1146,27
1 Corinthians,46,2,1063,9,James,59,1,1146,12
Ephesians,49,2,1098,8,James,59,1,1146,16
Ephesians,49,4,1100,26,James,59,1,1146,19
Philippians,50,1,1103,6,James,59,1,1146,16
Hebrews,58,13,1145,8,James,59,1,1146,17
James,59,1,1146,2,James,59,1,1146,12
James,59,3,1148,2,James,59,1,1146,26
Revelation,66,2,1168,10,James,59,1,1146,12
Genesis,1,2,1,24,Ephesians,49,5,1101,28
Isaiah,23,9,687,2,Ephesians,49,5,1101,8
Isaiah,23,60,738,1,Ephesians,49,5,1101,14
Isaiah,23,60,738,1,Ephesians,49,5,1101,8
John,43,9,1005,4,Ephesians,49,5,1101,16
John,43,13,1009,34,Ephesians,49,5,1101,2
John,43,15,1011,3,Ephesians,49,5,1101,26
John,43,15,1011,13,Ephesians,49,5,1101,2
Romans,45,12,1057,2,Ephesians,49,5,1101,17
Romans,45,12,1057,2,Ephesians,49,5,1101,9
1 Corinthians,46,6,1067,9,Ephesians,49,5,1101,4
